unit,region,notes
sayle,r6,Name we coded as Homer has a difficult signature to comprehend
sayle,r6,Name we coded as O has an illegible signature
sayle,r6,Name we coded as Swefalk has a difficult signature to comprehend
sayle,r6,Name we coded as Valencia has a difficult signature to comprehend
sayle,r6,Name we coded as Presley has a difficult signature to comprehend
sayle,r6,Name we coded as Swefalk has a difficult signature to comprehend
county,r6-travis,Name we listed as Ajal has a difficult signature to read.
county,r6-travis,"Same Handwriting from 12:30 p.m. to 5:30 p.m., July 24, 2023 different names"
county,r6-travis,"Same Handwriting from July 24, 2023 6:30 p.m. to July 25,2023 1:30 p.m., different names"
county,r6-travis,Name we listed as C Sualey has a difficult signature to read.
woodman,r6,Name we coded as Brodeny FB has a difficult signature to read
woodman,r6,Name we entered as Rodriguez SR has a difficult signature to read
woodman,r6,Name we entered as Bustly has a difficult signature to read
woodman,r6,"July 27 2023 same handwriting for every entry, different names"
woodman,r6,"July 30 2023 same handwriting for every entry from 10:30 a.m. to 9:30 p.m., different names"
